country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
JPN,Snowboard,Women's Big Air,0.154,0.154,0.15,0.458,Kokomo Murase,0.154
SWE,Biathlon,Mixed Relay,0.153,0.154,0.151,0.458,Team Sweden,0.153
GER,Cross-Country Skiing,Women's 4x5km Relay,0.143,0.152,0.162,0.457,Team Germany,0.131
KOR,Curling,Women's Curling,0.129,0.151,0.177,0.456,Kim Eun-jung,0.129
GER,Freestyle Skiing,Men's Ski Cross,0.159,0.152,0.143,0.454,Florian Wilmsmann,0.159
GBR,Freestyle Skiing,Women's Halfpipe,0.144,0.152,0.155,0.452,Zoe Atkin,0.144
NOR,Alpine Skiing,Men's Slalom,0.14,0.152,0.161,0.452,Atle Lie McGrath,0.06
ESP,Snowboard,Women's Halfpipe,0.141,0.152,0.156,0.45,Queralt Castellet,0.141
USA,Speed Skating,Women's Mass Start,0.136,0.152,0.163,0.45,Mia Manganello,0.084
ITA,Alpine Skiing,Women's Super-G,0.141,0.15,0.158,0.449,Federica Brignone,0.05
JPN,Ski Jumping,Mixed Team,0.131,0.148,0.17,0.449,Team Japan,0.131
JPN,Speed Skating,Men's 500m,0.137,0.15,0.158,0.446,Tatsuya Shinhama,0.09
GER,Biathlon,Women's 4x6km Relay,0.148,0.148,0.148,0.444,Team Germany,0.148
SWE,Biathlon,Men's 10km Sprint,0.149,0.148,0.145,0.442,Sebastian Samuelsson,0.093
SWE,Biathlon,Men's 20km Individual,0.149,0.147,0.145,0.441,Sebastian Samuelsson,0.093
SWE,Biathlon,Men's 15km Mass Start,0.149,0.147,0.145,0.441,Sebastian Samuelsson,0.094
CAN,Freestyle Skiing,Women's Moguls,0.123,0.145,0.172,0.44,Maia Schwinghammer,0.085
CAN,Freestyle Skiing,Women's Dual Moguls,0.125,0.145,0.17,0.44,Maia Schwinghammer,0.086
SWE,Biathlon,Men's 12.5km Pursuit,0.148,0.148,0.144,0.439,Sebastian Samuelsson,0.092
ITA,Curling,Mixed Doubles Curling,0.154,0.145,0.138,0.437,Team Italy,0.154
HUN,Short Track Speed Skating,Men's 500m,0.135,0.147,0.154,0.436,Liu Shaolin Sandor,0.081
HUN,Short Track Speed Skating,Men's 1500m,0.138,0.145,0.152,0.435,Liu Shaolin Sandor,0.083
HUN,Short Track Speed Skating,Men's 1000m,0.136,0.145,0.153,0.434,Liu Shaolin Sandor,0.082
NOR,Nordic Combined,Men's Team Sprint,0.111,0.14,0.183,0.434,Team Norway,0.111
ITA,Biathlon,Men's 10km Sprint,0.155,0.143,0.133,0.431,Tommaso Giacomel,0.134
ITA,Biathlon,Men's 12.5km Pursuit,0.152,0.143,0.136,0.431,Tommaso Giacomel,0.132
USA,Speed Skating,Women's 1000m,0.126,0.148,0.157,0.431,Brittany Bowe,0.097
GER,Cross-Country Skiing,Men's 4x10km Relay,0.14,0.144,0.147,0.43,Team Germany,0.137
ITA,Biathlon,Men's 20km Individual,0.153,0.144,0.133,0.43,Tommaso Giacomel,0.133
ITA,Biathlon,Men's 15km Mass Start,0.153,0.143,0.134,0.43,Tommaso Giacomel,0.133
SUI,Freestyle Skiing,Men's Slopestyle,0.132,0.144,0.154,0.43,Andri Ragettli,0.083
AUS,Snowboard,Men's Snowboard Cross,0.126,0.142,0.161,0.429,Adam Lambert,0.07
